season_year,player_name,team_name,nationality,apps,clean_sheets,goals_conceded,minutes_per_goal_conceded
2008,Víctor Valdés,FC Barcelona,España,12,4,10,108
2008,Lukasz Fabianski,Arsenal FC,Polonia,3,3,0,0
2008,Alexander Manninger,Juventus de Turín,Austria,5,3,3,150
2008,Stanislav Bogush,FC Dinamo de Kiev,Ucrania,6,3,4,135
2008,Rui Patrício,Sporting de Lisboa,Portugal,6,3,14,37
2008,Mario Galinovic,Panathinaikos FC,Croacia,7,3,8,79
2008,Pepe Reina,Liverpool FC,España,9,3,11,74
2008,Diego López,Villarreal CF,España,9,3,11,74
2008,Manuel Almunia,Arsenal FC,España,10,3,17,49
2008,Tiago Ferreira,Sporting de Lisboa,Portugal,3,2,5,39
2008,Arjan Beqaj,Anorthosis Famagusta,Albania / Grecia,5,2,5,81
2008,Leo Franco,Atlético de Madrid,Argentina / Italia,6,2,5,108
2008,Artur Boruc,Celtic FC,Polonia,6,2,7,77
2008,Vyacheslav Malafeev,Zenit de San Petersburgo,Rusia,6,2,7,77
2008,Steve Mandanda,Olympique de Marsella,Francia / RD del Congo,6,2,7,77
2008,Sébastien Frey,Fiorentina,Francia,6,2,8,68
2008,Volkan Demirel,Fenerbahce,Turquía,6,2,11,49
2008,Júlio César,Inter de Milán,Brasil,7,2,9,70
2008,Iker Casillas,Real Madrid CF,España,7,2,10,63
2008,Doni,AS Roma,Brasil / Italia,8,2,7,103
2008,Helton,FC Oporto,Brasil / Portugal,9,2,12,68
2008,Jerzy Dudek,Real Madrid CF,Polonia,1,1,0,0
2009,Cédric Carrasso,Girondins de Burdeos,Francia,9,6,5,155
2009,Víctor Valdés,FC Barcelona,España,12,6,10,108
2009,Júlio César,Inter de Milán,Brasil,13,6,9,130
2009,Hans Jörg Butt,Bayern Múnich,Alemania,13,5,15,78
2009,Petr Cech,Chelsea FC,República Checa,6,4,4,128
2009,Hugo Lloris,Olympique de Lyon,Francia,12,4,10,108
2009,Gianluigi Buffon,Juventus de Turín,Italia,6,3,7,77
2009,Helton,FC Oporto,Brasil / Portugal,7,3,8,79
2009,Antonis Nikopolidis,Olympiacos El Pireo,Grecia,8,3,8,90
2009,Rüştü Reçber,Besiktas JK,Turquía,4,2,4,90
2009,Andrés Palop,Sevilla FC,España,5,2,4,113
2009,Pepe Reina,Liverpool FC,España,5,2,5,90
2009,Manuel Almunia,Arsenal FC,España,5,2,7,64
2009,Sergey Ryzhikov,Rubin Kazan,Rusia,6,2,7,77
2009,Diego Benaglio,VfL Wolfsburgo,Suiza / Italia,6,2,8,68
2009,Edwin van der Sar,Manchester United,Países Bajos,6,2,9,60
2009,Sébastien Frey,Fiorentina,Francia,7,2,9,70
2009,Iker Casillas,Real Madrid CF,España,8,2,9,80
2009,Hilário,Chelsea FC,Portugal,1,1,0,0
2009,Roberto,Atlético de Madrid,España,1,1,0,0
2009,Ulrich Ramé,Girondins de Burdeos,Francia,2,1,1,125
2009,Ben Foster,Manchester United,Inglaterra,2,1,1,180
2009,Vito Mannone,Arsenal FC,Italia,3,1,3,90
2009,Oleksandr Shovkovskyi,FC Dinamo de Kiev,Ucrania,4,1,5,72
2009,Giedrius Arlauskis,Unirea Urziceni ( - 2011),Lituania,5,1,7,64
2010,Iker Casillas,Real Madrid CF,España,11,7,6,165
2010,Edwin van der Sar,Manchester United,Países Bajos,10,6,6,150
2010,Steve Mandanda,Olympique de Marsella,Francia / RD del Congo,8,5,5,144
2010,Andriy Pyatov,Shakhtar Donetsk,Ucrania,10,5,14,64
2010,Christian Abbiati,AC Milan,Italia,6,4,3,156
2010,Petr Cech,Chelsea FC,República Checa,9,4,6,135
2010,Felipe,SC Braga,Brasil,5,3,9,50
2010,Sergey Ryzhikov,Rubin Kazan,Rusia,6,3,4,135
2010,Johan Sellberg-Wiland,FC Copenhague,Suecia,8,3,7,103
2010,Heurelho Gomes,Tottenham Hotspur,Brasil,8,3,10,64
2010,Víctor Valdés,FC Barcelona,España,11,3,9,110
2010,Manuel Neuer,FC Schalke 04,Alemania,12,3,14,77
2010,Tomasz Kuszczak,Manchester United,Polonia / Inglaterra,2,2,0,0
2010,José Manuel Pinto,FC Barcelona,España,2,2,0,0
2010,Luca Castellazzi,Inter de Milán,Italia,3,2,3,75
2010,César Sánchez,Valencia CF,España,4,2,2,180
2010,Hans Jörg Butt,Bayern Múnich,Alemania,4,2,3,120
2010,Thomas Kraft,Bayern Múnich,Alemania,4,2,6,60
2010,Tim Wiese,SV Werder Bremen,Alemania,5,2,9,44
2010,Allan McGregor,Rangers FC,Escocia,6,2,6,90
2010,Andriy Dykan,FC Spartak de Moscú,Ucrania / Rusia,6,2,10,54
2010,Vincent Enyeama,Hapoel Tel Aviv,Nigeria,6,2,10,54
2010,Alexandros Tzorvas,Panathinaikos FC,Grecia,6,2,13,42
2010,Hugo Lloris,Olympique de Lyon,Francia,8,2,14,51
2010,Antonio Adán,Real Madrid CF,España,1,1,0,0
2011,Iker Casillas,Real Madrid CF,España,10,5,10,90
2011,Manuel Neuer,Bayern Múnich,Alemania,12,5,14,77
2011,Petr Cech,Chelsea FC,República Checa,13,5,15,78
2011,Kenneth Vermeer,Ajax de Ámsterdam,Países Bajos / Surinam,6,4,6,90
2011,Hugo Lloris,Olympique de Lyon,Francia,8,4,12,60
2011,Steve Mandanda,Olympique de Marsella,Francia / RD del Congo,9,4,7,116
2011,Christian Abbiati,AC Milan,Italia,9,4,12,68
2011,Artur Moraes,SL Benfica,Brasil / Italia,10,4,10,90
2011,Víctor Valdés,FC Barcelona,España,11,4,10,99
2011,Tolga Zengin,Trabzonspor,Turquía,6,3,5,108
2011,Vyacheslav Malafeev,Zenit de San Petersburgo,Rusia,7,3,7,90
2011,Wojciech Szczesny,Arsenal FC,Polonia,7,3,7,90
2011,Mickaël Landreau,LOSC Lille,Francia,5,2,5,90
2011,Urko Pardo,APOEL FC,Chipre / Bélgica,5,2,8,50
2011,Joe Hart,Manchester City,Inglaterra,6,2,6,90
2011,Helton,FC Oporto,Brasil / Portugal,6,2,7,77
2011,Diego Alves,Valencia CF,Brasil / Italia,6,2,7,77
2011,Vladimir Gabulov,CSKA Moscú,Rusia,6,2,8,68
2011,Morgan De Sanctis,SSC Nápoles,Italia,8,2,11,65
2011,José Manuel Pinto,FC Barcelona,España,1,1,0,0
2011,Anders Lindegaard,Manchester United,Dinamarca,2,1,1,180
2011,Antonio Adán,Real Madrid CF,España,2,1,2,90
2011,Balázs Megyeri,Olympiacos El Pireo,Hungría,3,1,2,135
2011,David de Gea,Manchester United,España,4,1,7,51
2011,Marek Cech,FC Viktoria Plzen,República Checa,5,1,7,64
2012,Helton,FC Oporto,Brasil / Portugal,8,5,6,120
2012,Willy Caballero,Málaga CF,Argentina / España,9,5,7,116
2012,Gianluigi Buffon,Juventus de Turín,Italia,10,5,8,113
2012,Manuel Neuer,Bayern Múnich,Alemania,13,5,11,106
2012,Roman Weidenfeller,Borussia Dortmund,Alemania,13,4,14,84
2012,Artur Moraes,SL Benfica,Brasil / Italia,6,3,5,108
2012,Salvatore Sirigu,París Saint-Germain FC,Italia,10,3,8,113
2012,Víctor Valdés,FC Barcelona,España,11,3,17,58
2012,Lars Unnerstall,FC Schalke 04,Alemania,5,2,5,90
2012,Vicente Guaita,Valencia CF,España,6,2,6,90
2012,Mário Felgueiras,CFR Cluj,Portugal,6,2,7,77
2012,Silvio Proto,RSC Anderlecht,Bélgica / Italia,6,2,9,60
2012,Vyacheslav Malafeev,Zenit de San Petersburgo,Rusia,6,2,9,60
2012,Diego López,Real Madrid CF,España,6,2,9,60
2012,Christian Abbiati,AC Milan,Italia,7,2,9,70
2012,José Manuel Pinto,FC Barcelona,España,1,1,0,0
2012,Lukasz Fabianski,Arsenal FC,Polonia,1,1,0,0
2012,Steeve Elana,LOSC Lille,Martinica / Francia,2,1,1,180
2012,Diego Alves,Valencia CF,Brasil / Italia,2,1,2,90
2012,Oleksandr Shovkovskyi,FC Dinamo de Kiev,Ucrania,2,1,3,60
2012,Wojciech Szczesny,Arsenal FC,Polonia,3,1,5,54
2012,Maksym Koval,FC Dinamo de Kiev,Ucrania,4,1,7,51
2012,Beto,SC Braga,Portugal,5,1,11,41
2012,Petr Cech,Chelsea FC,República Checa,6,1,10,54
2012,David de Gea,Manchester United,España,7,1,8,79
2013,Petr Cech,Chelsea FC,República Checa,10,6,7,118
2013,Iker Casillas,Real Madrid CF,España,13,6,9,122
2013,David de Gea,Manchester United,España,10,5,9,100
2013,Thibaut Courtois,Atlético de Madrid,Bélgica,12,5,10,108
2013,Wojciech Szczesny,Arsenal FC,Polonia,7,4,5,116
2013,Manuel Neuer,Bayern Múnich,Alemania,12,4,13,83
2013,Víctor Valdés,FC Barcelona,España,6,3,3,180
2013,Andriy Pyatov,Shakhtar Donetsk,Ucrania,6,3,6,90
2013,Christian Abbiati,AC Milan,Italia,7,3,9,70
2013,Roberto,Olympiacos El Pireo,España,8,3,11,65
2013,Bernd Leno,Bayer 04 Leverkusen,Alemania,8,3,16,45
2013,Salvatore Sirigu,París Saint-Germain FC,Italia,10,3,9,100
2013,Mark Schwarzer,Chelsea FC,Australia / Alemania,3,2,3,84
2013,Timo Hildebrand,FC Schalke 04,Alemania,4,2,6,60
2013,Ralf Fährmann,FC Schalke 04,Alemania,4,2,9,40
2013,Jasper Cillessen,Ajax de Ámsterdam,Países Bajos,5,2,4,113
2013,Yuriy Lodygin,Zenit de San Petersburgo,Rusia / Grecia,7,2,13,48
2013,Daniel Aranzubia,Atlético de Madrid,España,1,1,0,0
2013,Rafael Cabral,SSC Nápoles,Brasil / Portugal,1,1,0,0
2013,Mitchell Langerak,Borussia Dortmund,Australia,2,1,1,135
2013,Claudio Bravo,Real Sociedad,Chile / España,5,1,9,50
2013,Yann Sommer,FC Basilea,Suiza,6,1,6,90
2013,Helton,FC Oporto,Brasil / Portugal,6,1,7,77
2013,Artur Moraes,SL Benfica,Brasil / Italia,6,1,8,68
2013,Ciprian Tătărușanu,FCSB,Rumania,6,1,10,54
2014,Miguel Ángel Moyá,Atlético de Madrid,España,7,6,1,533
2014,Danijel Subasic,AS Mónaco,Croacia,10,6,5,180
2014,Manuel Neuer,Bayern Múnich,Alemania,12,6,13,83
2014,Gianluigi Buffon,Juventus de Turín,Italia,13,6,10,117
2014,Marc-André ter Stegen,FC Barcelona,Alemania,13,6,11,106
2014,Iker Casillas,Real Madrid CF,España,10,5,9,100
2014,Andriy Pyatov,Shakhtar Donetsk,Ucrania,8,4,11,65
2014,Fabiano,FC Oporto,Chipre / Brasil,9,4,11,74
2014,Gorka Iraizoz,Athletic Club,España,6,3,6,90
2014,Yuriy Lodygin,Zenit de San Petersburgo,Rusia / Grecia,6,3,6,90
2014,Roman Weidenfeller,Borussia Dortmund,Alemania,7,3,8,79
2014,Bernd Leno,Bayer 04 Leverkusen,Alemania,8,3,8,90
2014,Keylor Navas,Real Madrid CF,Costa Rica / España,2,2,0,0
2014,Artur Moraes,SL Benfica,Brasil / Italia,3,2,1,198
2014,Thibaut Courtois,Chelsea FC,Bélgica,5,2,4,113
2014,Tomáš Vaclík,FC Basilea,República Checa,8,2,13,55
2014,Salvatore Sirigu,París Saint-Germain FC,Italia,10,2,15,60
2014,Emiliano Martínez,Arsenal FC,Argentina / España,2,1,1,180
2014,Petr Cech,Chelsea FC,República Checa,3,1,2,135
2014,David Ospina,Arsenal FC,Colombia / Francia,3,1,4,52
2014,Júlio César,SL Benfica,Brasil,3,1,4,68
2014,Jan Oblak,Atlético de Madrid,Eslovenia,4,1,6,56
2014,Wojciech Szczesny,Arsenal FC,Polonia,4,1,6,55
2014,Silvio Proto,RSC Anderlecht,Bélgica / Italia,5,1,9,50
2014,Vladislav Stoyanov,Ludogorets Razgrad,Bulgaria,5,1,12,38
2015,Keylor Navas,Real Madrid CF,Costa Rica / España,11,9,6,165
2015,Jan Oblak,Atlético de Madrid,Eslovenia,13,8,13,90
2015,Oleksandr Shovkovskyi,FC Dinamo de Kiev,Ucrania,7,5,5,126
2015,Kevin Trapp,París Saint-Germain FC,Alemania,10,5,6,150
2015,Jeroen Zoet,PSV Eindhoven,Países Bajos,8,4,7,103
2015,Diego Benaglio,VfL Wolfsburgo,Suiza / Italia,8,4,9,80
2015,Manuel Neuer,Bayern Múnich,Alemania,11,4,11,90
2015,Asmir Begovic,Chelsea FC,Bosnia y Herzegovina / Canadá,5,3,3,150
2015,Petr Cech,Arsenal FC,República Checa,5,3,7,64
2015,Gianluigi Buffon,Juventus de Turín,Italia,8,3,9,80
2015,Marc-André ter Stegen,FC Barcelona,Alemania,10,3,8,113
2015,Joe Hart,Manchester City,Inglaterra,12,3,12,89
2015,Yuriy Lodygin,Zenit de San Petersburgo,Rusia / Grecia,6,2,7,77
2015,David de Gea,Manchester United,España,6,2,7,77
2015,Sergio Rico,Sevilla FC,España,6,2,11,49
2015,Júlio César,SL Benfica,Brasil,7,2,8,79
2015,Morgan De Sanctis,AS Roma,Italia,1,1,0,0
2015,Willy Caballero,Manchester City,Argentina / España,1,1,0,0
2015,Sven Ulreich,Bayern Múnich,Alemania,1,1,0,0
2015,Anton Kanibolotskyi,Shakhtar Donetsk,Ucrania,2,1,2,90
2015,Koen Casteels,VfL Wolfsburgo,Bélgica,2,1,2,90
2015,Kiko Casilla,Real Madrid CF,España,2,1,3,60
2015,Thibaut Courtois,Chelsea FC,Bélgica,3,1,4,68
2015,Iker Casillas,FC Oporto,España,6,1,8,68
2015,Jaume Doménech,Valencia CF,España,6,1,9,60
2016,Gianluigi Buffon,Juventus de Turín,Italia,12,8,7,154
2016,Jan Oblak,Atlético de Madrid,Eslovenia,11,6,7,141
2016,Kasper Schmeichel,Leicester City,Dinamarca,8,5,4,180
2016,Sergio Rico,Sevilla FC,España,8,5,6,120
2016,Robin Olsen,FC Copenhague,Suecia / Dinamarca,6,4,2,270
2016,Marc-André ter Stegen,FC Barcelona,Alemania,9,4,12,68
2016,Anthony Lopes,Olympique de Lyon,Portugal / Francia,6,3,3,180
2016,Bernd Leno,Bayer 04 Leverkusen,Alemania,7,3,8,79
2016,Ederson,SL Benfica,Brasil / Portugal,7,3,10,63
2016,Iker Casillas,FC Oporto,España,8,3,6,120
2016,Roman Bürki,Borussia Dortmund,Suiza,8,3,10,72
2016,Artur Rudko,FC Dinamo de Kiev,Ucrania,5,2,4,113
2016,Hugo Lloris,Tottenham Hotspur,Francia,6,2,6,90
2016,David Ospina,Arsenal FC,Colombia / Francia,8,2,16,45
2016,Manuel Neuer,Bayern Múnich,Alemania,9,2,11,74
2016,Ramazan Özcan,Bayer 04 Leverkusen,Austria / Turquía,1,1,0,0
2016,Jasper Cillessen,FC Barcelona,Países Bajos,1,1,0,0
2016,Neto,Juventus de Turín,Brasil / Italia,1,1,0,0
2016,Kevin Trapp,París Saint-Germain FC,Alemania,2,1,6,30
2016,Claudio Bravo,Manchester City,Chile / España,4,1,5,65
2016,Jeroen Zoet,PSV Eindhoven,Países Bajos,5,1,9,50
2016,Vladislav Stoyanov,Ludogorets Razgrad,Bulgaria,5,1,12,38
2016,Arkadiusz Malarz,Legia de Varsovia,Polonia,5,1,16,28
2016,Alphonse Areola,París Saint-Germain FC,Francia / Filipinas,6,1,7,77
2016,Rui Patrício,Sporting de Lisboa,Portugal,6,1,8,68
2017,Loris Karius,Liverpool FC,Alemania,13,6,16,73
2017,Marc-André ter Stegen,FC Barcelona,Alemania,9,5,6,135
2017,Alisson,AS Roma,Brasil,12,5,19,57
2017,David de Gea,Manchester United,España,6,4,3,180
2017,Alphonse Areola,París Saint-Germain FC,Francia / Filipinas,8,4,9,80
2017,Tomáš Vaclík,FC Basilea,República Checa,8,4,10,72
2017,Ederson,Manchester City,Brasil / Portugal,9,4,10,81
2017,Jan Oblak,Atlético de Madrid,Eslovenia,6,3,4,135
2017,Gianluigi Buffon,Juventus de Turín,Italia,9,3,11,74
2017,Sven Ulreich,Bayern Múnich,Alemania,11,3,12,83
2017,Iker Casillas,FC Oporto,España,3,2,3,90
2017,Thibaut Courtois,Chelsea FC,Bélgica,8,2,12,60
2017,Sergio Rico,Sevilla FC,España,8,2,13,55
2017,Keylor Navas,Real Madrid CF,Costa Rica / España,11,2,13,76
2017,Roman Weidenfeller,Borussia Dortmund,Alemania,1,1,0,0
2017,Michel Vorm,Tottenham Hotspur,Países Bajos / Surinam,1,1,0,0
2017,Jasper Cillessen,FC Barcelona,Países Bajos,1,1,0,0
2017,Manuel Neuer,Bayern Múnich,Alemania,1,1,0,0
2017,Wojciech Szczesny,Juventus de Turín,Polonia,2,1,1,91
2017,David Soria,Sevilla FC,España,2,1,2,90
2017,Kiko Casilla,Real Madrid CF,España,2,1,3,60
2017,Boy Waterman,APOEL FC,Países Bajos / Surinam,3,1,6,38
2017,Frank Boeckx,RSC Anderlecht,Bélgica,3,1,8,34
2017,Silvio Proto,Olympiacos El Pireo,Bélgica / Italia,5,1,10,45
2017,Aleksandr Selikhov,FC Spartak de Moscú,Rusia,5,1,11,35
2017,Loris Karius,Liverpool FC,Alemania,13,6,16,73
2017,Marc-André ter Stegen,FC Barcelona,Alemania,9,5,6,135
2017,Alisson,AS Roma,Brasil,12,5,19,57
2017,David de Gea,Manchester United,España,6,4,3,180
2017,Alphonse Areola,París Saint-Germain FC,Francia / Filipinas,8,4,9,80
2017,Tomáš Vaclík,FC Basilea,República Checa,8,4,10,72
2017,Ederson,Manchester City,Brasil / Portugal,9,4,10,81
2017,Jan Oblak,Atlético de Madrid,Eslovenia,6,3,4,135
2017,Gianluigi Buffon,Juventus de Turín,Italia,9,3,11,74
2017,Sven Ulreich,Bayern Múnich,Alemania,11,3,12,83
2017,Iker Casillas,FC Oporto,España,3,2,3,90
2017,Thibaut Courtois,Chelsea FC,Bélgica,8,2,12,60
2017,Sergio Rico,Sevilla FC,España,8,2,13,55
2017,Keylor Navas,Real Madrid CF,Costa Rica / España,11,2,13,76
2017,Roman Weidenfeller,Borussia Dortmund,Alemania,1,1,0,0
2017,Michel Vorm,Tottenham Hotspur,Países Bajos / Surinam,1,1,0,0
2017,Jasper Cillessen,FC Barcelona,Países Bajos,1,1,0,0
2017,Manuel Neuer,Bayern Múnich,Alemania,1,1,0,0
2017,Wojciech Szczesny,Juventus de Turín,Polonia,2,1,1,91
2017,David Soria,Sevilla FC,España,2,1,2,90
2017,Kiko Casilla,Real Madrid CF,España,2,1,3,60
2017,Boy Waterman,APOEL FC,Países Bajos / Surinam,3,1,6,38
2017,Frank Boeckx,RSC Anderlecht,Bélgica,3,1,8,34
2017,Silvio Proto,Olympiacos El Pireo,Bélgica / Italia,5,1,10,45
2017,Aleksandr Selikhov,FC Spartak de Moscú,Rusia,5,1,11,35
2019,Manuel Neuer,Bayern Múnich,Alemania,11,6,8,124
2019,Keylor Navas,París Saint-Germain FC,Costa Rica / España,9,5,6,133
2019,Jan Oblak,Atlético de Madrid,Eslovenia,9,4,9,90
2019,Sergio Rico,París Saint-Germain FC,España,3,3,0,0
2019,Alex Meret,SSC Nápoles,Italia,6,3,4,135
2019,André Onana,Ajax de Ámsterdam,Camerún,6,3,6,90
2019,Ederson,Manchester City,Brasil / Portugal,8,3,7,96
2019,Péter Gulácsi,RB Leipzig,Hungría,10,3,12,73
2019,Paulo Gazzaniga,Tottenham Hotspur,Argentina / Italia,4,2,5,72
2019,Wojciech Szczesny,Juventus de Turín,Polonia,7,2,6,105
2019,Thibaut Courtois,Real Madrid CF,Bélgica,7,2,11,53
2019,Pierluigi Gollini,Atalanta de Bérgamo,Italia,7,2,13,48
2019,Roman Bürki,Borussia Dortmund,Suiza,8,2,11,65
2019,Marc-André ter Stegen,FC Barcelona,Alemania,8,2,13,55
2019,Anthony Lopes,Olympique de Lyon,Portugal / Francia,10,2,14,64
2019,Yvon Mvogo,RB Leipzig,Suiza / Camerún,1,1,0,0
2019,Léo Jardim,LOSC Lille,Brasil / Italia,1,1,0,0
2019,Gianluigi Buffon,Juventus de Turín,Italia,1,1,0,0
2019,Alphonse Areola,Real Madrid CF,Francia / Filipinas,2,1,1,135
2019,Jaume Doménech,Valencia CF,España,2,1,4,45
2019,Mikhail Kerzhakov,Zenit de San Petersburgo,Rusia,4,1,7,51
2019,Alisson,Liverpool FC,Brasil,5,1,4,113
2019,Gaëtan Coucke,KRC Genk,Bélgica,5,1,16,28
2019,Samir Handanovič,Inter de Milán,Eslovenia,6,1,9,60
2019,Lukas Hradecky,Bayer 04 Leverkusen,Finlandia / Eslovaquia,6,1,9,60
2020,Edouard Mendy,Chelsea FC,Senegal / Guinea-Bissau,12,9,3,360
2020,Ederson,Manchester City,Brasil / Portugal,12,7,5,216
2020,Alisson,Liverpool FC,Brasil,7,5,5,126
2020,Agustín Marchesín,FC Oporto,Argentina / Italia,9,5,9,90
2020,Thibaut Courtois,Real Madrid CF,Bélgica,12,4,14,77
2020,Roman Bürki,Borussia Dortmund,Suiza,4,3,1,360
2020,Anatoliy Trubin,Shakhtar Donetsk,Ucrania,5,3,8,56
2020,Manuel Neuer,Bayern Múnich,Alemania,8,3,8,90
2020,Pierluigi Gollini,Atalanta de Bérgamo,Italia,3,2,1,270
2020,Neto,FC Barcelona,Brasil / Italia,3,2,1,270
2020,Yassine Bounou,Sevilla FC,Marruecos / Canadá,5,2,6,75
2020,Samir Handanovič,Inter de Milán,Eslovenia,6,2,9,60
2020,Wojciech Szczesny,Juventus de Turín,Polonia,7,2,8,79
2020,Jan Oblak,Atlético de Madrid,Eslovenia,8,2,11,65
2020,Yann Sommer,Borussia Mönchengladbach,Suiza,8,2,13,55
2020,Keylor Navas,París Saint-Germain FC,Costa Rica / España,12,2,15,72
2020,Gianluigi Buffon,Juventus de Turín,Italia,1,1,0,0
2020,Adrián,Liverpool FC,España,1,1,0,0
2020,Zack Steffen,Manchester City,Estados Unidos,1,1,0,0
2020,Diogo Costa,FC Oporto,Portugal / Suiza,1,1,0,0
2020,Caoimhín Kelleher,Liverpool FC,Irlanda,2,1,1,180
2020,Matvey Safonov,FK Krasnodar,Rusia,4,1,8,45
2020,Georgiy Bushchan,FC Dinamo de Kiev,Ucrania,4,1,9,40
2020,David de Gea,Manchester United,España,5,1,8,56
2020,Simon Mignolet,Club Brujas KV,Bélgica,5,1,9,50
2021,Edouard Mendy,Chelsea FC,Senegal / Guinea-Bissau,9,5,7,116
2021,Odysseas Vlachodimos,SL Benfica,Grecia / Alemania,10,5,17,53
2021,Thibaut Courtois,Real Madrid CF,Bélgica,13,5,14,84
2021,Manuel Neuer,Bayern Múnich,Alemania,9,4,6,135
2021,Ederson,Manchester City,Brasil / Portugal,11,4,14,70
2021,Alisson,Liverpool FC,Brasil,13,4,14,84
2021,Ivo Grbic,LOSC Lille,Croacia,6,3,4,135
2021,Marc-André ter Stegen,FC Barcelona,Alemania,6,3,9,60
2021,Wojciech Szczesny,Juventus de Turín,Polonia,7,3,10,63
2021,Samir Handanovič,Inter de Milán,Eslovenia,8,3,7,103
2021,Jan Oblak,Atlético de Madrid,Eslovenia,10,3,10,90
2021,Gerónimo Rulli,Villarreal CF,Argentina / Italia,12,3,16,68
2021,Andriy Pyatov,Shakhtar Donetsk,Ucrania,3,2,2,133
2021,Gianluigi Donnarumma,París Saint-Germain FC,Italia,5,2,6,75
2021,Yassine Bounou,Sevilla FC,Marruecos / Canadá,6,2,5,108
2021,Remko Pasveer,Ajax de Ámsterdam,Países Bajos,6,2,6,90
2021,Gregor Kobel,Borussia Dortmund,Suiza,6,2,11,49
2021,Diogo Costa,FC Oporto,Portugal / Suiza,6,2,11,49
2021,Antonio Adán,Sporting de Lisboa,España,7,2,13,48
2021,Tom Heaton,Manchester United,Inglaterra,1,1,0,0
2021,Scott Carson,Manchester City,Inglaterra,1,1,0,0
2021,Denys Boyko,FC Dinamo de Kiev,Ucrania,1,1,0,0
2021,Mattia Perin,Juventus de Turín,Italia,1,1,0,0
2021,Josep Martínez,RB Leipzig,España,1,1,0,0
2021,Ciprian Tătărușanu,AC Milan,Rumania,3,1,2,135
2022,André Onana,Inter de Milán,Camerún,13,8,11,106
2022,Ederson,Manchester City,Brasil / Portugal,11,7,4,248
2022,Simon Mignolet,Club Brujas KV,Bélgica,8,5,11,65
2022,Thibaut Courtois,Real Madrid CF,Bélgica,10,5,11,82
2022,Diogo Costa,FC Oporto,Portugal / Suiza,8,4,8,90
2022,Alex Meret,SSC Nápoles,Italia,10,4,8,113
2022,Manuel Neuer,Bayern Múnich,Alemania,3,3,0,0
2022,Ciprian Tătărușanu,AC Milan,Rumania,5,3,5,90
2022,Alisson,Liverpool FC,Brasil,8,3,12,60
2022,Kepa Arrizabalaga,Chelsea FC,España,9,3,8,101
2022,Marko Dmitrovic,Sevilla FC,Serbia,2,2,0,0
2022,Sven Ulreich,Bayern Múnich,Alemania,3,2,2,135
2022,Gregor Kobel,Borussia Dortmund,Suiza,4,2,2,158
2022,Yann Sommer,Bayern Múnich,Suiza,4,2,4,90
2022,Alexander Meyer,Borussia Dortmund,Alemania,5,2,5,81
2022,Antonio Adán,Sporting de Lisboa,España,5,2,5,77
2022,Hugo Lloris,Tottenham Hotspur,Francia,6,2,6,90
2022,Lukas Hradecky,Bayer 04 Leverkusen,Finlandia / Eslovaquia,6,2,8,68
2022,Janis Blaswich,RB Leipzig,Alemania,6,2,11,48
2022,Mike Maignan,AC Milan,Francia / Guayana Francesa,7,2,6,105
2022,Kevin Trapp,Eintracht Fráncfort​​,Alemania,8,2,13,55
2022,Odysseas Vlachodimos,SL Benfica,Grecia / Alemania,10,2,13,69
2022,Fraser Forster,Tottenham Hotspur,Inglaterra,2,1,1,180
2022,Stefan Ortega,Manchester City,Alemania / España,2,1,1,180
2022,Mathew Ryan,FC Copenhague,Australia / Escocia,2,1,3,60
2023,Gregor Kobel,Borussia Dortmund,Suiza,12,6,10,108
2023,Yann Sommer,Inter de Milán,Suiza,7,4,7,90
2023,Álex Remiro,Real Sociedad,España,8,4,6,120
2023,David Raya,Arsenal FC,España,9,4,7,116
2023,Manuel Neuer,Bayern Múnich,Alemania,9,4,8,101
2023,Ivan Provedel,SS Lazio,Italia,8,3,10,72
2023,Gianluigi Donnarumma,París Saint-Germain FC,Italia,12,3,15,72
2023,Alexander Schlager,Red Bull Salzburgo,Austria,6,2,8,68
2023,Mike Maignan,AC Milan,Francia / Guayana Francesa,6,2,8,66
2023,Dmytro Riznyk,Shakhtar Donetsk,Ucrania,6,2,12,45
2023,Marc-André ter Stegen,FC Barcelona,Alemania,8,2,10,72
2023,Diogo Costa,FC Oporto,Portugal / Suiza,8,2,12,60
2023,Alex Meret,SSC Nápoles,Italia,8,2,13,55
2023,Andriy Lunin,Real Madrid CF,Ucrania,8,2,13,55
2023,Kamil Grabara,FC Copenhague,Polonia,8,2,14,51
2023,Jan Oblak,Atlético de Madrid,Eslovenia,10,2,15,60
2023,Marco Sportiello,AC Milan,Italia,1,1,0,0
2023,Thibaut Courtois,Real Madrid CF,Bélgica,1,1,0,0
2023,Timon Wellenreuther,Feyenoord,Alemania,2,1,3,60
2023,Kepa Arrizabalaga,Real Madrid CF,España,4,1,5,72
2023,Nick Pope,Newcastle United,Inglaterra,5,1,5,90
2023,Anthony Racioppi,BSC Young Boys,Suiza,5,1,11,41
2023,André Onana,Manchester United,Camerún,6,1,15,36
2023,Ederson,Manchester City,Brasil / Portugal,7,1,10,63
2023,Walter Benítez,PSV Eindhoven,Argentina / Francia,8,1,13,55
2024,Yann Sommer,Inter de Milán,Suiza,14,7,16,79
2024,David Raya,Arsenal FC,España,13,6,9,130
2024,Gianluigi Donnarumma,París Saint-Germain FC,Italia,15,6,14,96
2024,Marco Carnesecchi,Atalanta de Bérgamo,Italia,9,5,9,90
2024,Emiliano Martínez,Aston Villa,Argentina / España,12,5,12,90
